,会话id,标注命中句,标注结果,模型预测句,模型预测结果
询问学员培训经历且应答,33117442,[{喂，下午好，瑞瑞妈妈，打扰您了，我这边是新东方高中部的，就是有看你有报了咱们那个一对一的课程嘛，然后想问一下，就是秋季咱们这边课程是都安排一对一呢，还是考虑部分一对一部分班课。 1} {应该是升级个月。 2} {咱们一直都上一对一是吧。 3}],1,"
",否
询问学员培训经历且应答,33117420,[{嗯。我能问一下孩子，他在咱这报的那个课，因为我看有的已经学过了嘛，就是看上完了，所以我想问问他这边，感觉咋样，就是正在上的，或者说已经上完的这种。 13}],1,"
",否
询问学员培训经历且应答,33117391,[{明白，咱是暑假做了预习是吧。 7} {对，暑假我们会有安排。 8} {嗯。 9} {衔接班嘛。 10} {现在在上是吧。明白行吧，行吧，那这样吧。 11}],1,"
",否
询问学员培训经历且应答,33117458,[{不怎么样。那个暑假班还没上吗？这个提前预习的这个课。 15}],1,"
",否
询问学员培训经历且应答,33117430,[{可以，然后别的班型也可以帮您推荐，但是你要是分数太低的话，就不太适合班课了，还是一对一比较有针对性。 53} {一对一，怎么个一对一呢？ 54} {孩子之前没上过。 55}],1,"
",否
询问学员培训经历且应答,33117445,[{孩子这边英语怎么样，因为我看虽然说咱们这边也有，就是给孩子就是报了这个班课，但是那个没有说英语，英语的话他怎么学的怎么样。 17} {就相当于跟别人学。 18} {就是跟别人就是在线下做这种学习呢，是吗。 19}],1,"
",否
询问学员培训经历且应答,33117406,[],0,"销售:他现在在背英语单词了吗？
客户:他现在。

",是
询问学员培训经历且应答,33117389,[],0,"销售:然后那个我们看到您之前应该是有选择过我们新东方的这个相关课程。只不过可能是之前因为双减的政策，然后。被迫这个。退费的这么一个情况。
销售:那现在您这边还有这么样一个相关的一个课程学习的一个计划和需求吗？
客户:那个。有的话我听有的话没听清楚，你那边声音小。

",是
询问学员培训经历且应答,33117477,[],0,"销售:是在什么在什么地方登的。
客户:就是也是一个网课吧。

",是
询问学员培训经历且应答,33117473,[],0,"销售:打扰您，您现在忙不，我说跟您我看孩子那课程，然后咱们是给孩子续了一个那个英语是不。
客户:对。

",是
询问学员培训经历且应答,33117434,[],0,"销售:嗯。现在孩子的话，这边是选了哪几个科目呢。
客户:物化生。物理、化学、生物。

",是
询问学员培训经历且应答,33117480,[],0,"销售:明白，然后后边的话，咱们就只那个保留了那个数学是吧。
客户:数学和物理。

",是
询问学员培训经历且应答,33117458,[],0,"销售:上一对一是吧。
客户:嗯。

",是
询问学员培训经历且应答,33117467,[],0,"销售:是新东方是吗？
客户:对，我这边是新东方的李彤老师，然后给您电话的话，咱们就是了解一下孩子的一个情况。

",是
询问学员培训经历且应答,33117402,[],0,"销售:您还有其他的科目要学吗？
客户:目前还没有。要是。

",是
询问学员学习习惯,32682126,[{明白了，他挺喜欢学英语是吧，就除了学校老师布置的作业什么的，他自己也会有一些自己的一些安排。 54} {对，是的。 55} {就属于在英语上下的功夫还挺多的。 56} {对，他不抵触学英语，而且这英语分他自己也想往上拔一拔。 57}],1,"
",否
询问学员学习习惯,32694212,[{了解，那他像三大主科的话，有一些科目就孩子可以拉别人分吗？就是比较好的。语、数、英。 11} {以前是数学稍微好一点，这学期数学也不坚强。 12} {那我不知道有没有开家长会，或者是老师说孩子这边是确实是现阶段遇到问题了，还是说他自己在学习这一块没有太上心。有与家长会有反馈过吗？田老师。 13} {没有。 14}],1,"
",否
询问学员学习习惯,33111362,[{对，模式其实还是老二主动学习吧，我估计老大那什么就听着是挺自觉的。 48} {他主动去学习，还是上来一段时间，还就是趁着疫情了嘛，就是。 49}],1,"
",否
询问学员学习习惯,33114395,[],0,"销售:但是咱们线上课整体班课一对一的效果还可以，除非说孩子就是，注意力非常不集中，或者是。要求就是那种不想学的状态那种的话，确实是没办法安排。
客户:没有。

",是
询问学员学习习惯,32683941,[],0,"销售:孩子复习怎么样，最近。
客户:孩子还。还行吧，他自己。

",是
询问学员学习习惯,32694212,[],0,"销售:就走读的，那其实相当于说白了就是如果晚自习应该有晚自习吧。
客户:对。对呀。

",是
询问学员学习习惯,33116448,[],0,"销售:咱都是新东方自己的老师，没有外聘的，也没有公立校的。对，然后您像老师的话，我们新东方自己的老师基本上也在新东方待过三年或五年以上了，就是他在新东方这边带过三年或五年以上高考经验，男女老师都有，也需要看一下孩子他需要一个什么样的老师，您像有的孩子他可能自律性不强，我就需要一个，就比如他也不怎么主动背单词，那我可能就需要每天去督促孩子背单词的这样一个老师，那如果他本身自律性比较强，主要就是。可能语法体系不完善，或者是这个英语确实是基础，还需要再巩固，那咱就主要安排就给孩子补这个语法体系，这种都行。
客户:对，我觉得我们家孩子可老师。这样就是说这个。

",是
询问学员学习习惯,33116448,[],0,"销售:那行，自觉性上孩子是男孩女孩。
客户:男孩，男孩。

",是
询问学员学习习惯,32678324,[],0,"销售:自主学习。是，但是一般大部分孩子可能说他的自主学习并不是很强嘛。
客户:对，我们就是。

",是
询问学员学习习惯,32683582,[],0,"销售:上那种班上比较大的，还是说是如果说孩子他平时专注力，或者说是咱需要强跟钉的话，我建议咱就选这个精品班40人左右的。
客户:40人左右的这个老师上课能这样回答问题吗？跟有学生之间有互动吗？我感觉大课。

",是
询问学员学习习惯,33114660,[],0,"销售:不这些的话，我会跟老师去做个沟通，然后就是跟盯他严谨一些，属实，确实他就是自主性，可能没有说想象那么好，但是还是有一定的自主性的，对。
客户:喂，你好。

",是
询问学员学习习惯且家长应答,32682126,[{明白了，他挺喜欢学英语是吧，就除了学校老师布置的作业什么的，他自己也会有一些自己的一些安排。 54} {对，是的。 55} {就属于在英语上下的功夫还挺多的。 56} {对，他不抵触学英语，而且这英语分他自己也想往上拔一拔。 57}],1,"
",否
询问学员学习习惯且家长应答,32694212,[{了解，那他像三大主科的话，有一些科目就孩子可以拉别人分吗？就是比较好的。语、数、英。 11} {以前是数学稍微好一点，这学期数学也不坚强。 12} {那我不知道有没有开家长会，或者是老师说孩子这边是确实是现阶段遇到问题了，还是说他自己在学习这一块没有太上心。有与家长会有反馈过吗？田老师。 13} {没有。 14}],1,"
",否
询问学员学习习惯且家长应答,33111362,[{对，模式其实还是老二主动学习吧，我估计老大那什么就听着是挺自觉的。 48} {他主动去学习，还是上来一段时间，还就是趁着疫情了嘛，就是。 49}],1,"
",否
询问学员学习习惯且家长应答,33114395,[],0,"销售:但是咱们线上课整体班课一对一的效果还可以，除非说孩子就是，注意力非常不集中，或者是。要求就是那种不想学的状态那种的话，确实是没办法安排。
客户:没有。

",是
询问学员学习习惯且家长应答,32683941,[],0,"销售:孩子复习怎么样，最近。
客户:孩子还。还行吧，他自己。

",是
询问学员学习习惯且家长应答,32694212,[],0,"销售:就走读的，那其实相当于说白了就是如果晚自习应该有晚自习吧。
客户:对。对呀。

",是
询问学员学习习惯且家长应答,33116448,[],0,"销售:咱都是新东方自己的老师，没有外聘的，也没有公立校的。对，然后您像老师的话，我们新东方自己的老师基本上也在新东方待过三年或五年以上了，就是他在新东方这边带过三年或五年以上高考经验，男女老师都有，也需要看一下孩子他需要一个什么样的老师，您像有的孩子他可能自律性不强，我就需要一个，就比如他也不怎么主动背单词，那我可能就需要每天去督促孩子背单词的这样一个老师，那如果他本身自律性比较强，主要就是。可能语法体系不完善，或者是这个英语确实是基础，还需要再巩固，那咱就主要安排就给孩子补这个语法体系，这种都行。
客户:对，我觉得我们家孩子可老师。这样就是说这个。

",是
询问学员学习习惯且家长应答,33116448,[],0,"销售:那行，自觉性上孩子是男孩女孩。
客户:男孩，男孩。

",是
询问学员学习习惯且家长应答,32678324,[],0,"销售:自主学习。是，但是一般大部分孩子可能说他的自主学习并不是很强嘛。
客户:对，我们就是。

",是
询问学员学习习惯且家长应答,32683582,[],0,"销售:上那种班上比较大的，还是说是如果说孩子他平时专注力，或者说是咱需要强跟钉的话，我建议咱就选这个精品班40人左右的。
客户:40人左右的这个老师上课能这样回答问题吗？跟有学生之间有互动吗？我感觉大课。

",是
询问学员学习习惯且家长应答,33114660,[],0,"销售:不这些的话，我会跟老师去做个沟通，然后就是跟盯他严谨一些，属实，确实他就是自主性，可能没有说想象那么好，但是还是有一定的自主性的，对。
客户:喂，你好。

",是
询问意向科目,33117461,[{行明白，就是那咱们是这个想安排就是这个就是在暑假和后边的话，就是正给孩子让他去一对一补习是吧。 6} {嗯。 7} {有没有这个线上的，就是说一个老师好几几个孩子，有没有这个补课的话有没有。 8}],1,"
",否
询问意向科目,33117387,[{您好，然后想问一下，咱们有考虑在假期给孩子预习一下高一的知识吗？因为现在分数也出来了。 4} {我现在我现在在看呢，倒是。 5}],1,"
",否
询问意向科目,33117430,[{你好，穆群爸爸是吧，我是那个新东方，课程规划老师，就是我是听客服老师问咱们是想上那个假期的集训课。 1} {对。对，有吗？ 2}],1,"
",否
询问意向科目,33117455,[{您好，是这样的，给您打电话想问一下咱们暑假有考虑给孩子安排新高一的衔接课吗？ 3} {有考虑。 4}],1,"
",否
询问意向科目,33117451,[{你好，静海妈妈，我这边是新东方的，然后之前咱们说那个想给孩子了解那暑假新高一衔接课。不知道咱们安没安排好呢，因为咱们新东方这边马上第二期就要开课了。 3} {你们那边都学什么？ 4}],1,"
",否
询问意向科目,33117426,[{对，然后给您来电是这样的，就是我看您也在关注咱们那个英语听口的讲座，我想跟您问问，就是咱们现在新东方这边不是开了那个英语的考前听口的冲刺课程嘛，就是短期课，想跟您问一下，咱们现在这边的话，孩子英语听口成绩咋样，他是不是有这个需要去跟着老师做听口的冲刺。 3} {听孩子听口还行，那天我问他来着。现在说现在先拿先先先拿那个，他英语一直挺不能说挺好，反正也行，他现在那个语文。 4}],1,"
",否
询问意向科目,33117415,[{然后您看咱是有要是有这个想法，哪些学科需要关注的话，我给咱们重新那个。安排一个课程呢，就是您说这个体验呢，还是怎么着。 12} {可以体验几科。 13}],1,"
",否
询问意向科目,33117431,[{喂，子轩妈妈您好，我是新东方的王老师，咱们家长在给孩子报高一衔接课，您了解一下吗？ 1} {新东方是吗？ 2}],1,"
",否
询问意向科目,33117488,[{打扰您时间，是这样的，因为孩子之前不是有在咱这上过课嘛，然后给您打电话也是想问问暑假这边对于班课或者一对一是否还有需要或者安排。 2} {是，我想问问。 3} {嗯。 4} {咱们那的那个高三的那个英语有专门的什么班。 5}],1,"
",否
询问意向科目,33117422,[{家长您好，我是新东方的小崔老师，就是说咱现在志愿填报不也结束了吗？问暑期的衔接课给孩子安排好了没有？ 1} {咱们这一颗大概多少钱。 2}],1,"
",否
询问意向科目,33117479,[{还能吗？喂。 197} {比如说孩子妈妈，我问你，我说您是不是想要给孩子提升一下数学成绩。 198} {对呀。 199}],1,"
",否
询问意向科目,33117435,[{然后加个英语，然后如果说那啥的话，您未来文科孩子会安排吗？还是说。 44} {嗯。 45} {他不想我也是问他这个了，因为上高中要是这个分科嘛，然后他说他想学理科。 46}],1,"
",否
询问意向科目,33117389,[{暑期课不上了是吗？那也可以开学，我们现在开学新开学了之后，我们有相应的关那个高中的课程，您也可以做一个了解。 34} {对。那个可以，早期课是不上了，对。 35}],1,"
",否
询问意向科目,33117464,[{这边是新东方高中部的老师。就是我们现在有那个秋季的班课和一对一课程，问问我们学生有没有这方面的一些安排。 2} {可以。 3}],1,"
",否
询问意向科目,33117439,[{你好，是这样，因为前两天您不是问了咱们这边的这个英语这一块嘛，然后对，所以我说跟您碰一下，因为这马上那个如果是考虑班课的话，最后一期课也快要开课了，咱们还得邮寄教材啥的，所以说跟您碰碰，咱们是打算让他走个一对一，还是走个班课。 5} {英语。 6} {因为我是跟孩子商量了，他是觉得那个他的数理化更差，他现在全在补数理化，然后他没同意补英语，他说他觉得自己英语还行，然后说那个你让我先补数理化吧，他现在是已经上着化学、物理和数学三门，他说不能四门重开，他会炸。 7}],1,"
",否
询问意向科目,33117491,[{我们老师说咱们那个想了解衔接课，然后说让孩子自己决定。 7} {对。 8}],1,"
",否
询问意向科目,33117392,[{我知道，我看到咱们之前有上过咱们暑假新高一的课，他那种就是金牌老师吧，有两种就是有一种是班课的，一种是一对一的，他现在的话是想解决哪一部分分数问题呢？我看看是咱们班课合适还是一对一合适。 41} {现在高三了，还能适合一对一的高班课吗？ 42}],1,"
",否
询问意向科目,33117438,[{对，是的，就是这不孩子暑假之后就高三年级了嘛，然后大多数家长对于孩子目前比较薄弱的科目进行一对一冲刺，所以咱在暑假有这个66元一科的试听课，看您这边有想给孩子安排学习科目吗？ 8} {嗯。 9} {我也听息在长说，也就不问，因为现在我也是没问他。我前几天问他，就是说那作业写多了，他也没说什么。 10}],1,"
",否
询问意向科目,33117432,[{就是。现在就是还有有哪些科目，比如说物理化学这些，这数学这三科都有吧。 23} {就语语数英语数英物理化学史地政。还生物就是这九科的话，新东方这边就是高中一对一老师都有，咱上哪一科，因为。 24} {一对一的，如果是大班呢，大班课呢。 25}],1,"
",否
询问意向科目,33117434,[],0,"销售:嗯。现在孩子的话，这边是选了哪几个科目呢。
客户:物化生。物理、化学、生物。

",是
询问意向科目,33117444,[],0,"销售:咱们这边说的是那个中考志愿，孩子那个中考志愿填报，咱们这边可以给孩子提供一个免费的一个指导活动，就是说看这边您需要了解一下吗。
客户:好了。
客户:那我在通州区那个，我那就那个新建校。新建了三所学校。这边有什么了解吗。

",是
询问意向科目,33117491,[],0,"销售:家长您好，我这边是新东方的，接到一条咱的消息，说要了解那个暑假衔接课是吧。
客户:我没说。

",是
询问意向科目,33117491,[],0,"销售:对。
客户:行，那就是说我想主要是想看一下，就是看看咱们那边衔接的话，就是暂时还没那个，没想上哪个，就想看一下这个物理跟数学。

",是
询问意向科目,33117402,[],0,"销售:咱们是咱们孩子都选了哪些科目。
客户:选的那个政治。

",是
询问意向科目,33117459,[],0,"销售:行，那就这样，然后呢，您这边有啥问题就直接的跟嘉宾老师沟通一下，包括我一会再跟嘉宾老师沟通一下孩子的情况，就是咱文言文这块想调成重点是吧。就是暑假这。
客户:对，我想。他能。我就是说这个假期15次课，能够再重新给我发一个这个假期安排吗？

",是
询问意向科目,33117461,[],0,"销售:然后看咱们这边是想安排那个精品班还是白金班。
客户:他这个是上刷什么课。

",是
询问意向科目,33117472,[],0,"销售:喂，朱先生您好，我这边是北京新东方总部的老师，接到您是想咨询咱们雅思和托福的课程是吗？
客户:对。

",是
询问意向科目且家长应答,33117461,[{行明白，就是那咱们是这个想安排就是这个就是在暑假和后边的话，就是正给孩子让他去一对一补习是吧。 6} {嗯。 7} {有没有这个线上的，就是说一个老师好几几个孩子，有没有这个补课的话有没有。 8}],1,"
",否
询问意向科目且家长应答,33117387,[{您好，然后想问一下，咱们有考虑在假期给孩子预习一下高一的知识吗？因为现在分数也出来了。 4} {我现在我现在在看呢，倒是。 5}],1,"
",否
询问意向科目且家长应答,33117430,[{你好，穆群爸爸是吧，我是那个新东方，课程规划老师，就是我是听客服老师问咱们是想上那个假期的集训课。 1} {对。对，有吗？ 2}],1,"
",否
询问意向科目且家长应答,33117455,[{您好，是这样的，给您打电话想问一下咱们暑假有考虑给孩子安排新高一的衔接课吗？ 3} {有考虑。 4}],1,"
",否
询问意向科目且家长应答,33117451,[{你好，静海妈妈，我这边是新东方的，然后之前咱们说那个想给孩子了解那暑假新高一衔接课。不知道咱们安没安排好呢，因为咱们新东方这边马上第二期就要开课了。 3} {你们那边都学什么？ 4}],1,"
",否
询问意向科目且家长应答,33117426,[{对，然后给您来电是这样的，就是我看您也在关注咱们那个英语听口的讲座，我想跟您问问，就是咱们现在新东方这边不是开了那个英语的考前听口的冲刺课程嘛，就是短期课，想跟您问一下，咱们现在这边的话，孩子英语听口成绩咋样，他是不是有这个需要去跟着老师做听口的冲刺。 3} {听孩子听口还行，那天我问他来着。现在说现在先拿先先先拿那个，他英语一直挺不能说挺好，反正也行，他现在那个语文。 4}],1,"
",否
询问意向科目且家长应答,33117415,[{然后您看咱是有要是有这个想法，哪些学科需要关注的话，我给咱们重新那个。安排一个课程呢，就是您说这个体验呢，还是怎么着。 12} {可以体验几科。 13}],1,"
",否
询问意向科目且家长应答,33117431,[{喂，子轩妈妈您好，我是新东方的王老师，咱们家长在给孩子报高一衔接课，您了解一下吗？ 1} {新东方是吗？ 2}],1,"
",否
询问意向科目且家长应答,33117488,[{打扰您时间，是这样的，因为孩子之前不是有在咱这上过课嘛，然后给您打电话也是想问问暑假这边对于班课或者一对一是否还有需要或者安排。 2} {是，我想问问。 3} {嗯。 4} {咱们那的那个高三的那个英语有专门的什么班。 5}],1,"
",否
询问意向科目且家长应答,33117422,[{家长您好，我是新东方的小崔老师，就是说咱现在志愿填报不也结束了吗？问暑期的衔接课给孩子安排好了没有？ 1} {咱们这一颗大概多少钱。 2}],1,"
",否
询问意向科目且家长应答,33117479,[{还能吗？喂。 197} {比如说孩子妈妈，我问你，我说您是不是想要给孩子提升一下数学成绩。 198} {对呀。 199}],1,"
",否
询问意向科目且家长应答,33117435,[{然后加个英语，然后如果说那啥的话，您未来文科孩子会安排吗？还是说。 44} {嗯。 45} {他不想我也是问他这个了，因为上高中要是这个分科嘛，然后他说他想学理科。 46}],1,"
",否
询问意向科目且家长应答,33117389,[{暑期课不上了是吗？那也可以开学，我们现在开学新开学了之后，我们有相应的关那个高中的课程，您也可以做一个了解。 34} {对。那个可以，早期课是不上了，对。 35}],1,"
",否
询问意向科目且家长应答,33117464,[{这边是新东方高中部的老师。就是我们现在有那个秋季的班课和一对一课程，问问我们学生有没有这方面的一些安排。 2} {可以。 3}],1,"
",否
询问意向科目且家长应答,33117439,[{你好，是这样，因为前两天您不是问了咱们这边的这个英语这一块嘛，然后对，所以我说跟您碰一下，因为这马上那个如果是考虑班课的话，最后一期课也快要开课了，咱们还得邮寄教材啥的，所以说跟您碰碰，咱们是打算让他走个一对一，还是走个班课。 5} {英语。 6} {因为我是跟孩子商量了，他是觉得那个他的数理化更差，他现在全在补数理化，然后他没同意补英语，他说他觉得自己英语还行，然后说那个你让我先补数理化吧，他现在是已经上着化学、物理和数学三门，他说不能四门重开，他会炸。 7}],1,"
",否
询问意向科目且家长应答,33117491,[{我们老师说咱们那个想了解衔接课，然后说让孩子自己决定。 7} {对。 8}],1,"
",否
询问意向科目且家长应答,33117392,[{我知道，我看到咱们之前有上过咱们暑假新高一的课，他那种就是金牌老师吧，有两种就是有一种是班课的，一种是一对一的，他现在的话是想解决哪一部分分数问题呢？我看看是咱们班课合适还是一对一合适。 41} {现在高三了，还能适合一对一的高班课吗？ 42}],1,"
",否
询问意向科目且家长应答,33117438,[{对，是的，就是这不孩子暑假之后就高三年级了嘛，然后大多数家长对于孩子目前比较薄弱的科目进行一对一冲刺，所以咱在暑假有这个66元一科的试听课，看您这边有想给孩子安排学习科目吗？ 8} {嗯。 9} {我也听息在长说，也就不问，因为现在我也是没问他。我前几天问他，就是说那作业写多了，他也没说什么。 10}],1,"
",否
询问意向科目且家长应答,33117432,[{就是。现在就是还有有哪些科目，比如说物理化学这些，这数学这三科都有吧。 23} {就语语数英语数英物理化学史地政。还生物就是这九科的话，新东方这边就是高中一对一老师都有，咱上哪一科，因为。 24} {一对一的，如果是大班呢，大班课呢。 25}],1,"
",否
询问意向科目且家长应答,33117434,[],0,"销售:嗯。现在孩子的话，这边是选了哪几个科目呢。
客户:物化生。物理、化学、生物。

",是
询问意向科目且家长应答,33117444,[],0,"销售:咱们这边说的是那个中考志愿，孩子那个中考志愿填报，咱们这边可以给孩子提供一个免费的一个指导活动，就是说看这边您需要了解一下吗。
客户:好了。
客户:那我在通州区那个，我那就那个新建校。新建了三所学校。这边有什么了解吗。

",是
询问意向科目且家长应答,33117491,[],0,"销售:家长您好，我这边是新东方的，接到一条咱的消息，说要了解那个暑假衔接课是吧。
客户:我没说。

",是
询问意向科目且家长应答,33117491,[],0,"销售:对。
客户:行，那就是说我想主要是想看一下，就是看看咱们那边衔接的话，就是暂时还没那个，没想上哪个，就想看一下这个物理跟数学。

",是
询问意向科目且家长应答,33117402,[],0,"销售:咱们是咱们孩子都选了哪些科目。
客户:选的那个政治。

",是
